transaction_id,client_id,transaction_amount,transaction_date,country
25243,65,928000,6/14/2023,ISRAEL
25244,5,132000,5/31/2024,ISRAEL
25245,4,999000,3/2/2023,BRAZIL
25246,18,1224000,4/5/2023,CHINA
25247,40,1875000,12/28/2023,NORTH KOREA
25248,52,1045000,7/15/2023,GERMANY
25249,45,1551000,8/9/2023,JAPAN
25250,7,417000,3/4/2024,FRANCE
25251,44,1435000,9/20/2023,ISRAEL
25252,58,386000,9/8/2023,FRANCE
25253,52,360000,8/2/2024,SPAIN
25254,37,29000,6/4/2023,GERMANY
25255,75,792000,2/23/2023,FRANCE
25256,49,258000,3/19/2023,JAPAN
25257,6,1980000,12/5/2024,BRAZIL
25258,55,1131000,8/24/2024,GERMANY
25259,4,850000,10/9/2023,INDIA
25260,14,1352000,8/20/2023,SPAIN
25261,17,1378000,7/3/2023,CANADA
25262,45,688000,1/17/2024,GERMANY
25263,31,1581000,9/10/2023,JAPAN
25264,12,1661000,9/9/2024,SPAIN
25265,38,282000,2/16/2024,FRANCE
25266,30,988000,6/23/2024,CHINA
25267,32,518000,10/20/2023,BRAZIL
25268,68,1737000,12/25/2023,JAPAN
25269,13,1886000,8/22/2024,BRAZIL
25270,12,1771000,4/7/2023,ISRAEL
25271,64,1698000,10/26/2024,BRAZIL
25272,40,1145000,9/5/2023,GERMANY
25273,62,1585000,4/5/2023,CHINA
25274,55,801000,3/19/2023,CANADA
25275,2,1525000,8/30/2023,SPAIN
25276,49,1273000,11/25/2024,ISRAEL
25277,15,1650000,11/9/2023,INDIA
25278,67,1212000,10/6/2023,ISRAEL
25279,36,1815000,12/2/2023,INDIA
25280,61,762000,9/14/2023,FRANCE
25281,33,1448000,9/2/2023,SPAIN
25282,22,1220000,10/19/2024,CHINA
25283,71,815000,7/29/2024,GERMANY
25284,5,1275000,11/23/2024,FRANCE
25285,26,1894000,8/21/2024,SPAIN
25286,46,364000,7/6/2023,NORTH KOREA
25287,64,1258000,2/22/2023,FRANCE
25288,73,1330000,4/10/2023,SPAIN
25289,31,1655000,4/27/2023,ISRAEL
25290,64,1665000,7/28/2024,FRANCE
25291,19,3000,1/12/2024,JAPAN
25292,59,915000,3/16/2024,FRANCE
25293,50,1666000,12/8/2024,FRANCE
25294,19,168000,8/29/2024,SPAIN
25295,37,1260000,7/2/2023,BRAZIL
25296,67,1879000,5/8/2023,SPAIN
25297,55,661000,10/4/2023,ISRAEL
25298,57,1443000,12/13/2023,CHINA
25299,70,322000,4/22/2023,CHINA
25300,69,1684000,11/10/2024,CHINA
25301,2,1180000,10/21/2023,BRAZIL
25302,15,60000,11/8/2023,ISRAEL
25303,48,1068000,5/10/2024,ISRAEL
25304,1,1322000,2/27/2024,BRAZIL
25305,27,922000,6/27/2024,JAPAN
25306,67,262000,5/30/2024,BRAZIL
25307,68,1563000,4/7/2024,CANADA
25308,1,834000,8/30/2023,CANADA
25309,36,1069000,8/12/2023,CHINA
25310,28,450000,11/21/2024,INDIA
25311,19,1481000,5/22/2023,SPAIN
25312,35,799000,8/19/2023,SPAIN
25313,62,1421000,9/7/2024,CHINA
25314,66,166000,7/3/2024,BRAZIL
25315,67,748000,12/5/2024,CHINA
25316,52,560000,9/28/2024,CHINA
25317,31,1468000,6/15/2024,BRAZIL
25318,49,1030000,4/22/2024,BRAZIL
25319,11,1635000,6/17/2023,INDIA
25320,45,1531000,4/12/2024,INDIA
25321,5,278000,7/24/2024,GERMANY
25322,75,717000,9/21/2024,SPAIN
25323,65,342000,5/17/2023,NORTH KOREA
25324,41,1890000,7/14/2023,BRAZIL
25325,1,1584000,10/10/2024,FRANCE
25326,65,372000,9/11/2023,FRANCE
25327,46,1305000,7/2/2024,INDIA
